// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).
0, 13905, 50
0, 12887, 100





// Temporal Set
1, 24416, 20
1, 24417, 20
1, 24418, 20
1, 24419, 20
1, 24420, 20
1, 24421, 20


// Costume
2, 20746, 100
2, 20593, 100
2, 20597, 100
2, 20502, 100
2, 20535, 100


// OCP ITEM
4, 18652, 100
4, 19163, 100
4, 19102, 100
4, 5933, 100
4, 19125, 100
4, 19079, 100
4, 28377, 100
4, 15145, 100
4, 28502, 100
4, 20845, 100
4, 18666, 100
4, 2589, 100
4, 19329, 100
4, 32204, 100
4, 2576, 100
4, 19138, 100
4, 15204, 100
4, 28484, 100
4, 28594, 100
4, 22172, 100
4, 15145, 100
4, 2202, 100
4, 28565, 100
4, 19115, 100
4, 5325, 100
4, 15283,100
4, 5388, 100



//Scroll
5, 16514, 15
5, 16515, 15

//Consume
6, 12883, 5
6, 13718, 10
6, 16770, 10
6, 12922, 10
6, 14003, 20
6, 14232, 50

//Refinding
7, 6635, 5
7, 14177, 25
7, 12920, 25
7, 16260, 50
7, 16261, 50
7, 7776, 50
